date,time,site,latitude,longitude,source,metric_type,parameter,value,unit,flag
2014-06-20,,Britannia,45.365073,-75.801513,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,24.6,cfu/100mL,Swim
2014-06-20,,Mooney's Bay,45.366844,-75.692678,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,39.5,cfu/100mL,Swim
2014-06-20,,Petrie East Bay,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,37.3,cfu/100mL,Swim
2014-06-20,,Petrie River,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,47.5,cfu/100mL,Swim
2014-06-20,,Westboro,45.395397,-75.761271,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,15.5,cfu/100mL,Swim
2014-06-21,,Britannia,45.365073,-75.801513,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,13.2,cfu/100mL,Swim
2014-06-21,,Mooney's Bay,45.366844,-75.692678,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,11.5,cfu/100mL,Swim
2014-06-21,,Petrie East Bay,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,14.3,cfu/100mL,Swim
2014-06-21,,Petrie River,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,30.6,cfu/100mL,Swim
2014-06-21,,Westboro,45.395397,-75.761271,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,31.8,cfu/100mL,Swim
2014-06-22,,Britannia,45.365073,-75.801513,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,35.2,cfu/100mL,Swim
2014-06-22,,Mooney's Bay,45.366844,-75.692678,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,11.5,cfu/100mL,Swim
2014-06-22,,Petrie East Bay,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,17.4,cfu/100mL,Swim
2014-06-22,,Petrie River,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,36.5,cfu/100mL,Swim
2014-06-22,,Westboro,45.395397,-75.761271,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,10.0,cfu/100mL,Swim
2014-06-23,,Britannia,45.365073,-75.801513,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,14.3,cfu/100mL,Swim
2014-06-23,,Mooney's Bay,45.366844,-75.692678,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,29.9,cfu/100mL,Swim
2014-06-23,,Petrie East Bay,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,22.7,cfu/100mL,Swim
2014-06-23,,Petrie River,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,24.7,cfu/100mL,Swim
2014-06-23,,Westboro,45.395397,-75.761271,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,20.5,cfu/100mL,Swim
2014-06-24,,Britannia,45.365073,-75.801513,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,10.0,cfu/100mL,Swimming not recommended (Rainfall)
2014-06-24,,Mooney's Bay,45.366844,-75.692678,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,60.0,cfu/100mL,Swimming not recommended (Rainfall)
2014-06-24,,Petrie East Bay,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,13.2,cfu/100mL,Swimming not recommended (Rainfall)
2014-06-24,,Petrie River,45.506325,-75.487879,City of Ottawa / Ottawa Public Health,weekly_geomean,ecoli_cfu_100ml,29.6,cfu/100mL,Swimming not recommended (Rainfall)
